;ensembl_gene_id_version;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;AD3_16.1;AD3_16.2;AD3_16.3;840_16.1;840_16.2;840_16.3;AD2_16.1;AD2_16.2;AD2_16.3;external_gene_name;gene_biotype
1;ENSG00000001167.14;920.972675;-0.494819664;0.155698568;14.6067896;0.000673249;0.003947575;1005.8683;1032.703068;928.4622044;612.6699703;897.3301446;555.4764269;1069.425683;1118.722177;1068.096101;NFYA;protein_coding
2;ENSG00000001461.17;331.5453348;-0.554392655;0.141554639;39.88068409;2.19E-09;7.75E-08;345.699919;333.1711998;305.7256762;198.7773681;269.7919928;203.5909076;457.2417813;430.4932584;439.4159097;NIPAL3;protein_coding
3;ENSG00000001617.12;278.4874431;0.316117076;0.15365047;17.51930555;0.000156939;0.001220533;297.2373135;255.3036014;295.4664253;411.1696245;284.6157287;340.5749133;186.3639488;218.5150162;217.1404161;SEMA3F;protein_coding
4;ENSG00000001631.15;148.9049396;0.726471233;0.171855165;26.38467166;1.86E-06;3.07E-05;115.2333063;131.4813547;126.1887858;241.6642661;163.0610946;233.7525235;115.9357123;116.7281069;96.0993058;KRIT1;protein_coding
5;ENSG00000002016.18;366.2992748;0.6875115;0.174966975;24.05064117;5.99E-06;8.18E-05;304.775941;302.5347677;330.3478783;643.9842132;354.7814118;557.9898949;260.0427192;281.0812815;261.1553654;RAD52;protein_coding
6;ENSG00000003096.14;793.0851968;-0.81378763;0.19814524;29.66117495;3.62E-07;7.59E-06;812.0178783;796.5472364;774.5734413;362.8367713;664.1033669;295.3324894;1187.528418;1060.825036;1184.002134;KLHL13;protein_coding
7;ENSG00000003137.8;54.43871771;0.974231898;0.224448339;32.57744797;8.43E-08;2.13E-06;57.07817977;37.0190222;41.03700351;108.2383614;67.20093594;99.2819858;26.00427192;19.61032196;34.47837689;CYP26B1;protein_coding
8;ENSG00000003249.13;573.184013;0.339605583;0.141096554;12.89906551;0.001581261;0.00784348;592.3207335;454.4404105;601.1921014;727.7157758;638.4088914;725.1355166;425.8199527;456.6403543;536.9823805;DBNDD1;protein_coding
9;ENSG00000003400.14;11.04567336;0.944443399;0.277358587;12.35696168;0.002073576;0.00970483;7.538627517;5.106072028;3.077775263;19.06084352;14.82373587;23.87794595;7.58457931;10.27207341;8.069407357;CASP10;protein_coding
10;ENSG00000003402.20;3194.257706;0.584067626;0.122145171;25.27141864;3.25E-06;4.90E-05;2541.59442;2360.281795;2317.564773;4368.336888;3184.138464;3758.891387;3370.803748;3476.629937;3370.077945;CFLAR;protein_coding
11;ENSG00000003436.16;66.83071541;0.796245341;0.193664701;17.11925625;0.000191691;0.001422268;43.07787153;49.78420227;46.16662895;79.64709614;89.93066427;110.5925918;70.42823645;59.76479075;52.08435658;TFPI;protein_coding
12;ENSG00000003509.16;486.4442409;0.536591947;0.168115137;19.04216836;7.33E-05;0.000646542;443.7020767;440.3987124;447.3033383;791.7057505;449.6533213;711.3114426;369.4773636;357.6549196;366.7912435;NDUFAF7;protein_coding
13;ENSG00000003987.14;415.9467292;-0.316557356;0.123387576;22.42976554;1.35E-05;0.000160625;396.316418;448.0578205;385.747833;335.6069948;357.746159;295.3324894;484.3295645;517.3389699;523.0443132;MTMR7;protein_coding
14;ENSG00000004139.14;714.9426411;-0.652429809;0.15031479;19.39734905;6.14E-05;0.000559441;922.9433975;783.7820563;837.1548716;477.8825768;638.4088914;432.3164951;714.0339665;760.1334324;867.8280821;SARM1;protein_coding
15;ENSG00000004487.16;5107.40131;-0.419124934;0.099599847;17.90672463;0.000129302;0.00104152;6017.978652;5543.917704;5796.476746;4026.603194;4731.736489;4054.223876;5027.492571;5312.529603;5455.652956;KDM1A;protein_coding
16;ENSG00000004534.15;2432.519919;0.435542522;0.165752679;14.33601025;0.000770859;0.00441718;2324.051169;2253.054282;2300.124047;3800.596049;2124.735474;3420.829941;1982.825734;1841.502615;1844.959955;RBM6;protein_coding
17;ENSG00000004779.10;1210.629349;0.117067141;0.09831261;13.21177028;0.001352386;0.006926289;1212.642083;1362.044713;1167.50275;1366.254034;1294.606266;1371.096791;1039.087366;1015.067618;1067.362519;NDUFAB1;protein_coding
18;ENSG00000004799.8;21.06531375;-1.021759839;0.279164823;12.80952714;0.001653661;0.008135763;16.15420182;21.70080612;48.21847912;8.849677349;7.905992463;8.797137983;26.00427192;33.6176948;18.33956217;PDK4;protein_coding
19;ENSG00000004948.15;56.78212087;-1.449780726;0.229303413;41.29288435;1.08E-09;4.05E-08;73.23238159;109.7805486;102.5925088;29.9527541;15.81198493;25.13467995;61.76014581;49.49271734;43.28136673;CALCR;protein_coding
20;ENSG00000005059.16;150.5124649;0.907497756;0.17553728;28.39689369;6.82E-07;1.31E-05;103.3868917;107.2275126;104.644359;216.4767228;173.9318342;267.6843415;147.3575409;126.0663555;107.8366256;MCUB;protein_coding
21;ENSG00000005075.15;469.8953214;0.913971952;0.20193752;23.69224887;7.17E-06;9.51E-05;324.1609832;342.1068259;350.86638;848.8882811;400.2408684;902.3350102;357.5587389;332.4416485;370.4591559;POLR2J;protein_coding
22;ENSG00000005108.16;2663.61994;-1.064566215;0.225640632;22.5547539;1.27E-05;0.000153364;3376.228181;3440.216029;2881.823571;938.065799;2216.642637;776.6616105;3267.870171;3580.284496;3494.786968;THSD7A;protein_coding
23;ENSG00000005156.12;768.414703;-0.389386211;0.133312317;24.38033014;5.08E-06;7.11E-05;792.6328361;668.8954357;818.68822;507.1545865;667.0681141;576.8409049;1023.918207;903.9424601;956.591563;LIG3;protein_coding
24;ENSG00000005206.17;1059.85791;0.621368012;0.194152569;17.29768204;0.00017533;0.001326973;919.7125571;885.9034969;1012.588062;1878.173831;866.6944238;1706.644769;711.8669438;758.2657826;798.8713283;SPPL2B;protein_coding
25;ENSG00000005243.10;144.1936993;0.632603435;0.170521919;14.49194711;0.00071304;0.004140504;96.92521093;107.2275126;109.7739844;166.7823808;147.2491096;227.4688536;153.8586089;141.0075532;147.4500799;COPZ2;protein_coding
26;ENSG00000005302.19;679.4390695;-0.517749553;0.113702287;20.57542677;3.40E-05;0.000345319;830.3259737;787.6116103;789.9623176;516.0042639;606.7849215;520.287875;631.6871054;719.9789636;712.3085949;MSL3;protein_coding
27;ENSG00000005339.14;1738.149467;-0.464068145;0.11647888;26.55553802;1.71E-06;2.86E-05;1956.812314;1619.901351;1944.128041;1245.762273;1478.420591;1251.707062;2012.08054;2117.914772;2016.618257;CREBBP;protein_coding
28;ENSG00000005801.18;1969.38991;0.695817204;0.179423465;21.65379649;1.99E-05;0.000221414;1615.420182;1785.848692;1550.172808;3435.717045;1804.54278;3115.44358;1599.262723;1486.64917;1331.452214;ZNF195;protein_coding
29;ENSG00000005810.18;4265.819372;-0.790230347;0.124173514;43.2751997;4.01E-10;1.63E-08;5466.581897;5067.776488;4831.081238;2757.695611;3388.706019;2458.171699;4820.541907;4775.580311;4826.239182;MYCBP2;protein_coding
30;ENSG00000005884.18;758.8681521;0.993488482;0.152541522;43.75379195;3.15E-10;1.30E-08;441.5481831;524.6489009;555.0254725;1268.907583;851.8706879;1185.10016;664.1924453;706.9054156;631.6145213;ITGA3;protein_coding
31;ENSG00000005889.15;656.7958195;-0.784676447;0.125688946;57.7031449;2.95E-13;1.98E-11;655.860594;822.0775965;702.7586851;394.8317586;453.6063176;393.3577412;881.9782227;780.6775792;826.0138803;ZFX;protein_coding
32;ENSG00000006007.12;858.7378851;-0.428228617;0.171411073;13.6309536;0.00109667;0.005853568;821.7103994;861.6496547;902.8140772;483.3285321;873.6121672;563.0168309;1106.265068;1029.074991;1087.169246;GDE1;protein_coding
